Data;Hora;Moeda;Qtd;Tipo;Status
2021-11-25;08:52:44;BNB;1,39;SAÍDA;Para Carteira Externa
2021-11-25;12:40:54;ADA;10010,0;SAÍDA;Para Carteira Externa
2021-11-25;15:46:48;BNB;3,0;SAÍDA;Para Carteira Externa
2021-11-26;00:42:44;BUSD;1000,0;SAÍDA;Para Carteira Externa
2021-11-26;01:07:44;BUSD;14000,0;SAÍDA;Para Carteira Externa
2021-11-26;01:59:40;SOL;0,3;SAÍDA;Para Carteira Externa
2021-11-26;12:27:44;USDT;10016,9832;SAÍDA;Para Carteira Externa
2021-11-27;14:16:32;ADA;10000,0;ENTRADA;Origem Externa
2021-11-27;20:32:44;BNB;3,0;SAÍDA;Para Carteira Externa
2021-11-29;12:27:42;LUNA;2,02;SAÍDA;Para Carteira Externa
2021-11-29;13:10:48;SOL;2,01;SAÍDA;Para Carteira Externa
2021-11-29;20:49:40;BNB;26,45;SAÍDA;Para Carteira Externa
2021-11-30;16:28:32;ADA;30000,0;ENTRADA;Origem Externa
2021-11-30;17:20:44;ADA;20000,0;ENTRADA;Origem Externa
2021-11-30;18:28:42;BUSD;3000,0;SAÍDA;Para Carteira Externa
2021-11-30;18:33:44;USDT;17371,7047;SAÍDA;Para Carteira Externa
2021-11-30;20:26:40;USDT;12845,976;SAÍDA;Para Carteira Externa
2021-12-02;00:04:04;ADA;30414,079582;ENTRADA;Origem Externa
2021-12-02;00:32:42;SOL;41,02;SAÍDA;Para Carteira Externa
2021-12-02;00:58:42;SOL;39,0;SAÍDA;Para Carteira Externa
2021-12-02;09:50:50;BUSD;2000,0;SAÍDA;Para Carteira Externa
2021-12-03;08:57:42;SOL;2,9;SAÍDA;Para Carteira Externa
2021-12-03;12:44:40;ADA;10001,0;SAÍDA;Para Carteira Externa
2021-12-03;23:54:42;USDT;2472,681657;SAÍDA;Para Carteira Externa
2021-12-05;11:28:40;ALGO;5001,0;SAÍDA;Para Carteira Externa
2021-12-05;11:34:40;ALGO;5008,0;SAÍDA;Para Carteira Externa
2021-12-17;10:19:42;USDT;3582,129588;SAÍDA;Para Carteira Externa
2021-12-20;16:20:56;USDT;37240,0;SAÍDA;Para Carteira Externa
2021-12-21;11:43:40;USDT;7052,5006;SAÍDA;Para Carteira Externa
2021-12-22;23:03:42;SOL;10,05;SAÍDA;Para Carteira Externa
2022-01-07;11:57:32;BUSD;64,0;ENTRADA;Origem Externa
2022-01-07;12:03:04;BUSD;4102,94026969;ENTRADA;Origem Externa
2022-01-07;12:18:42;UST;5597,0;SAÍDA;Para Carteira Externa
2022-01-07;19:04:04;BUSD;955,0;ENTRADA;Origem Externa
2022-01-07;19:06:04;BUSD;7000,32496175;ENTRADA;Origem Externa
2022-01-07;19:25:48;UST;4120,0;SAÍDA;Para Carteira Externa
2022-01-07;19:32:42;UST;10001,367681;SAÍDA;Para Carteira Externa
2022-01-08;11:42:42;SOL;0,49;SAÍDA;Para Carteira Externa
2022-01-09;11:47:40;UST;12854,2312;SAÍDA;Para Carteira Externa
2022-01-09;13:14:42;USDC;14118,0;SAÍDA;Para Carteira Externa
2022-01-10;09:42:10;SOL;102,0;ENTRADA;Origem Externa
2022-01-11;10:12:12;SOL;3,3;ENTRADA;Origem Externa
2022-01-12;10:45:40;SOL;200,0;ENTRADA;Origem Externa
2022-01-12;11:18:44;USDC;13078,9958;SAÍDA;Para Carteira Externa
2022-01-12;12:26:36;ADA;5000,0;ENTRADA;Origem Externa
2022-01-12;12:36:42;USDT;14716,071;SAÍDA;Para Carteira Externa
2022-01-17;22:13:04;BUSD;1681,0;ENTRADA;Origem Externa
2022-01-17;22:14:04;BUSD;15000,37748444;ENTRADA;Origem Externa
2022-01-17;23:36:40;USDC;14850,0;SAÍDA;Para Carteira Externa
2022-01-18;00:01:40;UST;193,307907;ENTRADA;Origem Externa
2022-01-18;12:34:08;UST;1946,305897;ENTRADA;Origem Externa
2022-01-19;20:53:42;USDC;11885,0;SAÍDA;Para Carteira Externa
2022-01-21;11:52:40;SOL;160,43515638;ENTRADA;Origem Externa
